References	Qty	Characteristics	Config	Description	MFN	MPN	Notes	SKU	Vendor
C1	1	NPO 6V							
C2	1		dnf						
C3, C5, C7, C16, C20	5	X7R 6V							
C4	1	X5R 10V							
C6, C8, C9, C10, C11, C12, C13, C14, C15, C19, C23, C24, C27, C31, C32, C36, C37	17	X7R 6V							
C17, C18, C22	3	X5R 25V							
C21	1	X5R 25V							
C25, C26	2	NPO 6V							
C28, C35	2	X5R 25V							
C29	1	X5R 10V							
C30, C33	2	X7R 6V							
C34	1	X5R 25V							
D1	1	TVS DIODE 5.5VWM SOT143B		Clamp Ipp Tvs Diode Surface Mount SOT-143B	Nexperia USA Inc.	PRTR5V0U2X,215		1727-3884-1-ND	Digikey
D2	1			Red, Green, Blue (RGB) 621nm Red, 525nm Green, 465nm Blue LED Indication - Discrete 1.8V Red, 2.7V Green, 2.7V Blue 4-PLCC	Kingbright	AAA3528LSEEZGKQBKS		754-1967-1-ND	Digikey
D3	1			TVS DIODE 24VWM 41VC SOT23	DESD2CAN2SOQ-7	Diodes Incorporated		DESD2CAN2SOQ-7DICT-ND	Digikey
D4, D6	2	DIODE SCHOTTKY 40V 500MA SOD123		Diode Schottky 40V 500mA Surface Mount SOD-123	ON Semiconductor	MBR0540T3G		MBR0540T3GOSCT-ND	Digikey
D5	1	26 V clamp		44V Clamp 8A (8/20µs) Ipp Tvs Diode Surface Mount SOD-323	Diodes Incorporated	SD24-7		31-SD24-7TR-ND	Digikey
FB1, FB2, FB3	3	120R/0.55A		150 Ohms @ 100 MHz 1 Power, Signal Line Ferrite Bead 0603 (1608 Metric) 500mA 250mOhm	Laird-Signal Integrity Products	LI0603E151R-10		240-2366-1-ND	Digikey
J1, J2	2				Molex	53261-0571		WM7623CT-ND	Digikey
J3	1								
JP1	1		nofit		Amphenol ICC (Commercial Products)	12401832E402A		12401832E402ACT-ND	Digikey
L1	1	High frequency chip inductor, ±5%			TE Connectivity Passive Product	36501E2N2JTDG		A103705CT-ND	Digikey
L2, L3, L4	3	80 mA 20%		Inductor, 80 mA, ±20%					
Q1	1				ON Semiconductor	BSS123LT1G		BSS123LT1GOSCT-ND	Digikey
R1	1	1%							
R2, R3, R4, R6, R14, R16	6	5%							
R5	1	1%					CAN Termination resistor		
R7, R8	2	1%					USB legacy mode		
R9	1	5%							
R10, R13, R18, R20	4	5%							
R11	1	1%							
R12	1	1%							
R15	1	1%							
R17, R19	2	1%							
R55	1	5%							
SWD1	1		nofit						
U1	1			IC RF TxRx + MCU 802.15.4, Bluetooth Bluetooth v5.1, Thread, Zigbee® 2.4GHz 94-VFQFN Dual Rows, Exposed Pad	Nordic Semiconductor ASA	NRF5340-QKAA-R		4823-NRF5340-QKAA-RCT-ND	Digikey
U2	1		dnf	FLASH - NOR Memory IC 64Mbit SPI - Quad I/O 80 MHz 8-WSON (6x5)	Macronix	MX25R6435FZNIL0		1092-1201-ND	Digikey
U3	1			1/1 Transceiver CANbus 28-QFN (6x6)	Microchip Technology	MCP25625-E/ML		MCP25625-E/ML-ND	Digikey
U4	1			IC GATE NAND 1CH 2-INP 6SON	Texas Instruments	SN74LVC1G00DRY2		296-SN74LVC1G00DRY2CT-ND	Digikey
U5	1			Bus Switch 8 x 1:1 20-DHVQFN (4.5x2.5)	Nexperia USA Inc.	74CBTLV3245BQ,115		1727-6906-1-ND	Digikey
U6	1			Non-Isolated PoL Module DC DC Converter 1 Output 0.9 ~ 6V 650mA 3V - 17V Input	Texas Instruments	LMZ21700SILR		296-44325-1-ND	Digikey
U7	1			IC PWR SWITCH P-CHAN 1:1 SC70-6	Vishay Siliconix	SIP32432DR3-T1GE3		SIP32432DR3-T1GE3CT-ND	Digikey
U8	1		dnf	Accelerometer, Gyroscope, Temperature, 6 Axis Sensor I²C, SPI Output	STMicroelectronics	LSM6DSLTR		497-16705-1-ND	Digikey
X1	1			32 MHz ±10ppm Crystal 8pF 60 Ohms 4-SMD, No Lead	ECS Inc.	ECS-320-8-37-CKM-TR3		50-ECS-320-8-37-CKM-TR3CT-ND	Digikey
X2	1			32.768 kHz ±20ppm Crystal 12.5pF 75 kOhms 2-SMD, No Lead	Micro Crystal AG	2195-CM9V-T1A-32.768KHZ-12.5PF-20PPM-TA-QCCT-ND		535-14513-1-ND	Digikey
Y1	1			9pF	Epson	TSX-3225 16.0000MF18X-AC0		SER4070CT-ND	Digikey
